avtorji,naslov,položaj na lestvici,povprečna dolžina epizode (v sekundah),splošna ocena,začetek predvajanja,število epizod,žanri
['Sydney Newman'],Doctor Who,56,2700,8.6,2005,211,"['Adventure', 'Drama', 'Sci-Fi']"

"['David Crane', 'Marta Kauffman']",Prijatelji,57,1320,8.9,1994,234,"['Comedy', 'Romance']"

['Jeff Davis'],Zlocinski um,58,2520,8.1,2005,335,"['Crime', 'Drama', 'Mystery']"

['Laurie Nunn'],Sex Education,59,2700,8.3,2019,32,"['Comedy', 'Drama']"

['Chris Lang'],Unforgotten,60,2700,8.4,2015,31,"['Crime', 'Drama', 'Mystery']"

['Jon Favreau'],The Mandalorian,61,2400,8.7,2019,24,"['Action', 'Adventure', 'Fantasy']"

[],Jujutsu Kaisen,62,1440,8.5,2020,35,"['Animation', 'Action', 'Adventure']"

"['Chuck Lorre', 'Bill Prady']",Veliki pokovci,63,1320,8.2,2007,280,"['Comedy', 'Romance']"

['Christopher Miller'],The Afterparty,64,2100,7.3,2022,18,"['Comedy', 'Crime', 'Mystery']"

"['David X. Cohen', 'Matt Groening']",Futurama,65,1320,8.5,1999,160,"['Animation', 'Adventure', 'Comedy']"

"['Jay Carson', 'Kerry Ehrin']",The Morning Show,66,3600,8.2,2019,31,['Drama']

['Jenny Han'],The Summer I Turned Pretty,67,2700,7.4,2022,16,"['Drama', 'Romance']"

['Nic Pizzolatto'],Pravi detektiv,68,3300,8.9,2014,25,"['Crime', 'Drama', 'Mystery']"

['Jon Bokenkamp'],Črni seznam,69,2580,8,2013,218,"['Crime', 'Drama', 'Mystery']"

['Pendleton Ward'],Adventure Time: Fionna \u0026 Cake,70,1800,9,2023,10,"['Animation', 'Action', 'Adventure']"

"['Jim Field Smith', 'George Kay']",Hijack,71,2820,7.4,2023,7,"['Drama', 'Thriller']"

"['Mark Brazill', 'Bonnie Turner', 'Terry Turner']","Oh, ta sedemdeseta",72,1320,8.1,1998,200,"['Comedy', 'Drama', 'Romance']"

"['Rob McElhenney', 'Glenn Howerton']",It's Always Sunny in Philadelphia,73,1320,8.8,2005,172,['Comedy']

"['Simon Kinberg', 'Carrie Beck', 'Dave Filoni']",Star Wars Rebels,74,1320,8,2014,77,"['Animation', 'Action', 'Adventure']"

"['Donald P. Bellisario', 'Don McGill']",Preiskovalci na delu: NCIS,75,3600,7.8,2003,458,"['Action', 'Crime', 'Drama']"

['Michael Waldron'],Loki,76,3180,8.2,2021,12,"['Action', 'Adventure', 'Fantasy']"

"['Neil Druckmann', 'Craig Mazin']",The Last of Us,77,3000,8.8,2023,10,"['Action', 'Adventure', 'Drama']"

['David Zabel'],The Walking Dead: Daryl Dixon,78,,8.2,2023,12,['Horror']

"['Steven Levitan', 'Christopher Lloyd']",Sodobna družina,79,1320,8.5,2009,250,"['Comedy', 'Drama', 'Romance']"

"['Ryan J. Condal', 'George R.R. Martin']",House of the Dragon,80,,8.5,2022,20,"['Action', 'Adventure', 'Drama']"

['David Simon'],Skrivna naveza,81,3540,9.3,2002,60,"['Crime', 'Drama', 'Thriller']"

['John Griffin'],From,82,3120,7.7,2022,30,"['Drama', 'Horror', 'Mystery']"

"['David Jaffe', 'Rhett Reese', 'Michael Jonathan Smith', 'Paul Wernick']",Twisted Metal,83,1800,7.4,2023,10,"['Action', 'Adventure', 'Comedy']"

['Hart Hanson'],Kosti,84,2400,7.8,2005,245,"['Crime', 'Drama', 'Mystery']"

['Taylor Sheridan'],1883,85,3600,8.7,2021,10,"['Drama', 'Western']"

['Amy Sherman-Palladino'],Midve z mamo,86,2640,8.2,2000,154,"['Comedy', 'Drama']"

['Mike White'],The White Lotus,87,3600,7.9,2021,14,"['Comedy', 'Drama']"

"['Sterlin Harjo', 'Taika Waititi']",Reservation Dogs,88,1800,8.2,2021,28,"['Comedy', 'Crime']"

"['Julie Plec', 'Kevin Williamson']",Vampirski dnevniki,89,2580,7.7,2009,171,"['Drama', 'Fantasy', 'Horror']"

['Robert Munic'],Power Book IV: Force,90,3600,8.1,2022,20,"['Crime', 'Drama']"

"['Carlton Cuse', 'Graham Roland']",Jack Ryan,91,3600,8,2018,30,"['Action', 'Drama', 'Thriller']"

['Caroline Graham'],Umori na podezelju,92,5400,7.9,1997,136,"['Crime', 'Drama', 'Mystery']"

['Joe Murtagh'],The Woman in the Wall,93,,6.8,2023,6,['Thriller']

['Danny McBride'],The Righteous Gemstones,94,2160,8.1,2019,28,"['Comedy', 'Drama']"

['Noah Hawley'],Fargo,95,3180,8.9,2014,51,"['Crime', 'Drama', 'Thriller']"

"['J.J. Abrams', 'Jeffrey Lieber', 'Damon Lindelof']",Skrivnostni otok,96,2640,8.3,2004,121,"['Adventure', 'Drama', 'Fantasy']"

['David Shore'],Zdravnikova vest,97,2640,8.7,2004,176,"['Drama', 'Mystery']"

"['Michael Patrick King', 'Darren Star']",And Just Like That...,98,2400,5.7,2021,22,"['Comedy', 'Drama', 'Romance']"

"['Larry David', 'Jerry Seinfeld']",Seinfeld,99,1320,8.9,1989,173,['Comedy']

['Dan Erickson'],Severance,100,3300,8.7,2022,19,"['Drama', 'Mystery', 'Sci-Fi']"






